Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,churn_probability,predicted_churn,estimated_annual_revenue,risk_segment
Male,Yes,No,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),30.59,856.52,0.00660318,0,367.08,Low Risk
Male,Yes,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,29.05,842.45,0.005995213,0,348.6,Low Risk
Female,No,Yes,Yes,54,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Electronic check,74.84,4041.36,0.008926532,0,898.08,Low Risk
Female,Yes,No,Yes,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.51,1995.7,0.009816155,0,342.12,Low Risk
Male,Yes,No,Yes,29,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,103.51,3001.79,0.018980354,0,1242.1200000000001,Low Risk
Male,Yes,No,No,34,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,45.55,1548.7,0.025224268,0,546.5999999999999,Low Risk
Female,No,No,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),27.54,908.82,0.0075682644,0,330.48,Low Risk
Female,Yes,Yes,No,11,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,61.46,676.06,0.12945466,0,737.52,Low Risk
Female,No,Yes,No,55,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),53.7,2953.5,0.25990313,0,644.4000000000001,Low Risk
Female,Yes,Yes,No,39,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),67.99,2651.61,0.05100016,0,815.8799999999999,Low Risk
Female,Yes,Yes,No,51,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,71.05,3623.55,0.06133197,0,852.5999999999999,Low Risk
Male,Yes,Yes,Yes,8,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,47.15,377.2,0.020512564,0,565.8,Low Risk
Male,Yes,No,No,54,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,82.43,4451.22,0.18896233,0,989.1600000000001,Low Risk
Female,Yes,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.66,609.46,0.02195897,0,235.92000000000002,Low Risk
Male,Yes,No,No,61,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,No,Mailed check,49.26,3004.86,0.020102175,0,591.12,Low Risk
Male,No,Yes,Yes,69,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),38.43,2651.67,0.026666308,0,461.15999999999997,Low Risk
Male,Yes,Yes,Yes,53,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),103.58,5489.74,0.024281457,0,1242.96,Low Risk
Male,Yes,No,Yes,9,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,56.91,512.19,0.024877558,0,682.92,Low Risk
Female,Yes,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),82.56,1155.84,0.6571907,1,990.72,High Risk
