Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges
Male,Yes,No,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),30.59,856.52
Male,Yes,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,29.05,842.45
Female,No,Yes,Yes,54,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Electronic check,74.84,4041.36
Female,Yes,No,Yes,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.51,1995.7
Male,Yes,No,Yes,29,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,103.51,3001.79
Male,Yes,No,No,34,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,45.55,1548.7
Female,No,No,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),27.54,908.82
Female,Yes,Yes,No,11,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,61.46,676.06
Female,No,Yes,No,55,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),53.7,2953.5
Female,Yes,Yes,No,39,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),67.99,2651.61
Female,Yes,Yes,No,51,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,71.05,3623.55
Male,Yes,Yes,Yes,8,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,47.15,377.2
Male,Yes,No,No,54,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,82.43,4451.22
Female,Yes,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.66,609.46
Male,Yes,No,No,61,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,No,Mailed check,49.26,3004.86
Male,No,Yes,Yes,69,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),38.43,2651.67
Male,Yes,Yes,Yes,53,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),103.58,5489.74
Male,Yes,No,Yes,9,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,56.91,512.19
Female,Yes,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),82.56,1155.84
